Data,Analizowany_Parametr,Wartosc,MAE_Train,MAE_Test,Roznica_Overfitting
2026-04-17 17:36:34,hidden_size,16,1.0242,0.6658,0.3584
2026-04-17 17:37:41,hidden_size,32,0.9499,1.1605,0.2106
2026-04-17 17:39:00,hidden_size,64,0.8559,0.7737,0.0822
2026-04-17 17:41:16,hidden_size,128,0.5432,1.0041,0.4609
2026-04-17 17:42:30,learning_rate,0.001,1.1366,0.4897,0.647
2026-04-17 17:43:40,learning_rate,0.005,0.9739,0.9597,0.0143
2026-04-17 17:44:59,learning_rate,0.01,0.8956,0.5291,0.3665
2026-04-17 17:46:19,learning_rate,0.05,1.9121,8.2033,6.2912
2026-04-17 17:46:47,training_size,400,1.4717,1.1736,0.2982
2026-04-17 17:47:43,training_size,800,1.1491,0.8459,0.3032
2026-04-17 17:49:06,training_size,1200,0.9591,0.8345,0.1246
2026-04-17 17:50:58,training_size,1600,0.7922,0.4829,0.3093
2026-04-17 17:51:41,epochs,25,0.9835,0.6034,0.3801
2026-04-17 17:53:07,epochs,50,0.9726,0.634,0.3386
2026-04-17 17:55:14,epochs,75,0.9285,0.6222,0.3063
2026-04-17 17:58:01,epochs,100,0.8965,0.5626,0.3339
2026-04-17 18:12:51,num_layers,1,0.9594,0.7887,0.1707
2026-04-17 18:15:14,num_layers,2,0.9534,0.5147,0.4388
2026-04-17 18:18:38,num_layers,3,0.9529,0.7951,0.1578
2026-04-17 18:23:08,num_layers,4,0.9944,0.7371,0.2572
2026-04-17 18:24:24,activation,tanh,0.9823,0.6808,0.3015
2026-04-17 18:25:41,activation,relu,1.0207,0.7275,0.2932
2026-04-17 18:27:09,activation,sigmoid,2.8145,2.9245,0.11
2026-04-17 18:28:54,activation,elu,0.9421,0.6698,0.2723
2026-04-17 18:29:40,window_size,6,0.9656,0.6936,0.272
2026-04-17 18:30:58,window_size,12,0.974,0.5583,0.4157
2026-04-17 18:32:46,window_size,18,0.8974,0.575,0.3224
2026-04-17 18:35:04,window_size,24,0.9248,0.6398,0.285
2026-04-17 18:40:15,num_layers,1,0.9688,0.6899,0.2789
2026-04-17 18:48:12,num_layers,2,0.9438,0.549,0.3948
2026-04-17 18:59:55,num_layers,3,0.9682,0.6981,0.2701
2026-04-17 19:14:25,num_layers,4,0.9707,0.9346,0.0362
2026-04-17 19:18:46,activation,tanh,0.9733,0.8721,0.1013
2026-04-17 19:23:16,activation,relu,0.9486,0.9989,0.0503
2026-04-17 19:28:46,activation,sigmoid,2.7274,1.8361,0.8913
2026-04-17 19:35:34,activation,elu,0.9315,0.5862,0.3453
2026-04-17 19:38:19,window_size,6,0.9679,0.692,0.2759
2026-04-17 19:42:50,window_size,12,0.9811,0.7605,0.2206
2026-04-17 19:48:39,window_size,18,0.9038,0.5705,0.3333
2026-04-17 19:56:02,window_size,24,0.9444,0.7719,0.1726
2026-04-17 19:59:57,hidden_size,16,1.0692,0.7919,0.2773
2026-04-17 20:04:12,hidden_size,32,0.9578,0.8344,0.1234
2026-04-17 20:09:21,hidden_size,64,0.8146,0.7181,0.0965
2026-04-17 20:17:01,hidden_size,128,0.5548,0.9436,0.3888
2026-04-17 20:21:40,learning_rate,0.001,1.1291,0.5009,0.6282
2026-04-17 20:26:05,learning_rate,0.005,0.964,0.8054,0.1586
2026-04-17 20:30:42,learning_rate,0.01,0.8949,0.5501,0.3448
2026-04-17 20:35:26,learning_rate,0.05,1.834,5.2722,3.4383
2026-04-17 20:36:58,training_size,400,1.4886,1.1162,0.3724
2026-04-17 20:40:04,training_size,800,1.1751,1.0687,0.1065
2026-04-17 20:44:40,training_size,1200,0.9759,0.7804,0.1955
2026-04-17 20:50:55,training_size,1600,0.8247,0.5647,0.26
2026-04-17 20:53:17,epochs,25,0.9918,0.598,0.3937
2026-04-17 20:57:43,epochs,50,0.9664,0.6663,0.3
2026-04-17 21:04:29,epochs,75,0.9298,0.523,0.4067
2026-04-17 21:13:37,epochs,100,0.8985,0.6144,0.2841
