model,parameter_name,parameter_value,train_mae,test_mae,train_mse,test_mse,train_rmse,test_rmse,train_r2,test_r2
KNNRegressor,n_neighbors,3,0.42625177584846097,0.4939400630914825,0.47075833324563704,0.3877273827549947,0.686118308490334,0.6226775913384026,0.9758739505350941,0.9774852966992715
KNNRegressor,n_neighbors,5,0.48665098658247835,0.48409652996845404,0.6286909513812154,0.37112172328075704,0.7929003413930501,0.6091976061022869,0.9677800095718166,0.9784495605423843
KNNRegressor,n_neighbors,7,0.5106940466794453,0.4844925642181161,0.7032326364624777,0.3718530742290606,0.8385896710921723,0.6097975682380675,0.9639597981077541,0.9784070921732617
KNNRegressor,n_neighbors,9,0.5248348241690783,0.4810834209603926,0.7405186971118711,0.3706746332515482,0.8605339604640081,0.6088305455966777,0.9620489124578354,0.9784755223387497
KNNRegressor,metric,euclidean,0.48665098658247835,0.48409652996845404,0.6286909513812154,0.37112172328075704,0.7929003413930501,0.6091976061022869,0.9677800095718166,0.9784495605423843
KNNRegressor,metric,manhattan,0.4836050513022889,0.49671829652996835,0.6253113997158642,0.38987206984227124,0.790766336989546,0.6243973653389893,0.967953209332478,0.9773607581817703
KNNRegressor,metric,chebyshev,0.5002740331491713,0.4821817034700314,0.7002069139068666,0.3696554206940063,0.8367836721081898,0.60799294460874,0.9641148643633857,0.9785347063668943
KNNRegressor,metric,minkowski,0.48665098658247835,0.48409652996845404,0.6286909513812154,0.37112172328075704,0.7929003413930501,0.6091976061022869,0.9677800095718166,0.9784495605423843
KNNRegressor,p,1,0.4836050513022889,0.49671829652996835,0.6253113997158642,0.38987206984227124,0.790766336989546,0.6243973653389893,0.967953209332478,0.9773607581817703
KNNRegressor,p,2,0.48665098658247835,0.48409652996845404,0.6286909513812154,0.37112172328075704,0.7929003413930501,0.6091976061022869,0.9677800095718166,0.9784495605423843
KNNRegressor,p,3,0.48918776637726913,0.4833208201892744,0.6530407858405683,0.3717528695899053,0.8081093897737907,0.6097154004860835,0.9665320968549491,0.978412910894921
KNNRegressor,p,4,0.4921852407261247,0.4797422712933753,0.6665095339068666,0.3655708464984227,0.8164003514862463,0.6046245500295392,0.9658418325321967,0.9787718909976778
DecisionTreeRegressor,max_depth,3,0.7872664866107504,1.0241278633084858,1.3556977317137324,1.811611696427272,1.1643443355441432,1.3459612536872196,0.9305213987200526,0.8948026328412215
DecisionTreeRegressor,max_depth,5,0.6144804910966155,0.7289745562025387,0.7973579003835484,0.9494612497167728,0.8929489909191612,0.9744030222227211,0.9591359413369125,0.9448663177178279
DecisionTreeRegressor,max_depth,10,0.35078932518728706,0.6551917847973138,0.26628889730034655,1.0218032749751278,0.5160318762444298,1.0108428537488543,0.9863528722605296,0.9406655330755554
DecisionTreeRegressor,max_depth,15,0.15552027836416418,0.6587085674311911,0.07780735250285738,1.1961239900268197,0.2789396933081726,1.0936745356946096,0.9960124252665373,0.9305430105168644
DecisionTreeRegressor,min_samples_split,2,0.35078932518728706,0.6551917847973138,0.26628889730034655,1.0218032749751278,0.5160318762444298,1.0108428537488543,0.9863528722605296,0.9406655330755554
