model,parameter_name,parameter_value,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_f1,test_f1
SVM,C,0.1,0.3682269416356763,0.3581658368676624,0.3803533251468505,0.3562934559715027,0.3682269416356763,0.3581658368676624,0.32813237494916003,0.3177478838706868
SVM,C,1,0.4392076712665581,0.40776937734341384,0.46551900949792707,0.423943487493269,0.4392076712665581,0.40776937734341384,0.4140566800760263,0.3815817613145031
SVM,C,10,0.5421059101945478,0.4296514844182187,0.5591487203379044,0.4262067755988502,0.5421059101945478,0.4296514844182187,0.5310034747982342,0.4142495873151673
SVM,C,100,0.6980975504809909,0.421046161411273,0.7082881959321968,0.4104789813243613,0.6980975504809909,0.421046161411273,0.6961358175595537,0.41054725793542823
SVM,kernel,linear,0.3286566063251068,0.32767840678591187,0.31895990521269163,0.31727231905257686,0.3286566063251068,0.32767840678591187,0.2744067912755722,0.2719487441846611
SVM,kernel,poly,0.42270338383993605,0.388407400577786,0.49828555177644124,0.42806599118104466,0.42270338383993605,0.388407400577786,0.40372945385960907,0.3669015523851262
SVM,kernel,rbf,0.4392076712665581,0.40776937734341384,0.46551900949792707,0.423943487493269,0.4392076712665581,0.40776937734341384,0.4140566800760263,0.3815817613145031
SVM,kernel,sigmoid,0.18554261302517133,0.18753457495851006,0.17465105862926067,0.1746467680276809,0.18554261302517133,0.18753457495851006,0.16256754758263114,0.16376481528955636
SVM,gamma,scale,0.4392076712665581,0.40776937734341384,0.46551900949792707,0.423943487493269,0.4392076712665581,0.40776937734341384,0.4140566800760263,0.3815817613145031
SVM,gamma,auto,0.4392076712665581,0.40776937734341384,0.46551900949792707,0.423943487493269,0.4392076712665581,0.40776937734341384,0.4140566800760263,0.3815817613145031
SVM,gamma,0.01,0.36168054829885976,0.3567521052308071,0.3781375278824118,0.35340388400629674,0.36168054829885976,0.3567521052308071,0.31994458414882,0.314490545958732
SVM,gamma,0.1,0.46802102222085623,0.41520683508513123,0.48913947020592513,0.42060534510430064,0.46802102222085623,0.41520683508513123,0.44622415570892004,0.392256660907986
