model,parameter_name,parameter_value,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_f1,test_f1
SVM,C,0.1,0.37007099609675137,0.3656032946093798,0.38319011537008096,0.3676244749436213,0.37007099609675137,0.3656032946093798,0.3321176068979493,0.3262956946185616
SVM,C,1,0.43253834096566984,0.41354723707664887,0.4595920188882622,0.43361596983623685,0.43253834096566984,0.41354723707664887,0.40746824273958004,0.3874465726451607
SVM,C,10,0.5006915204229031,0.4373962751244698,0.5175986153859665,0.4398475719363504,0.5006915204229031,0.4373962751244698,0.4857440356280196,0.4206885501518794
SVM,C,100,0.6045425208224483,0.43794947446063065,0.615094872431264,0.4287950335600414,0.6045425208224483,0.43794947446063065,0.5984627450903118,0.42601712912934103
SVM,kernel,linear,0.3202507914067062,0.3195033499293134,0.2999020963675748,0.3030671060875289,0.3202507914067062,0.3195033499293134,0.26461741507934794,0.2630825097432324
SVM,kernel,poly,0.3962104680824907,0.38158460876513617,0.46910504654914814,0.4339625511518312,0.3962104680824907,0.38158460876513617,0.3738941137861796,0.35760158160634214
SVM,kernel,rbf,0.43253834096566984,0.41354723707664887,0.4595920188882622,0.43361596983623685,0.43253834096566984,0.41354723707664887,0.40746824273958004,0.3874465726451607
SVM,kernel,sigmoid,0.16524264683283646,0.16602126744114573,0.1546759777797031,0.16328559079817342,0.16524264683283646,0.16602126744114573,0.14296092750431247,0.14428345448361043
SVM,gamma,scale,0.43253834096566984,0.41354723707664887,0.4595920188882622,0.43361596983623685,0.43253834096566984,0.41354723707664887,0.40746824273958004,0.3874465726451607
SVM,gamma,auto,0.43253834096566984,0.41354723707664887,0.4595920188882622,0.43361596983623685,0.43253834096566984,0.41354723707664887,0.40746824273958004,0.3874465726451607
SVM,gamma,0.01,0.34743522758705475,0.34464318642817626,0.37146532707676977,0.35385929920422027,0.34743522758705475,0.34464318642817626,0.3006746155651592,0.2974027329502833
SVM,gamma,0.1,0.43748655376955464,0.41569856782838527,0.46023624097824073,0.43758006056311616,0.43748655376955464,0.41569856782838527,0.4131838841015429,0.3906396985630463
